url,lastmod,age_days,freshness
https://lumenflow.demo/post/customer-analytics-platform-tutorial-1,2026-02-18,68,Recent (1-3 months)
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,2026-03-08,50,Recent (1-3 months)
https://lumenflow.demo/guide/customer-analytics-platform-explained,2026-03-12,46,Recent (1-3 months)
https://lumenflow.demo/post/how-to-customer-analytics-platform-4,2026-03-07,51,Recent (1-3 months)
https://lumenflow.demo/case-study/customer-analytics-platform-umbrella,2025-08-04,266,Stale (6-12 months)
https://lumenflow.demo/post/customer-analytics-platform-tutorial-6,2026-03-04,54,Recent (1-3 months)
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,2026-04-09,18,Fresh (< 1 month)
https://lumenflow.demo/guide/customer-analytics-platform-explained,2024-10-19,555,Decaying (12+ months)
https://lumenflow.demo/post/how-to-customer-analytics-platform-9,2025-09-06,233,Stale (6-12 months)
https://lumenflow.demo/case-study/customer-analytics-platform-umbrella,2025-08-15,255,Stale (6-12 months)
https://lumenflow.demo/post/customer-analytics-platform-tutorial-11,2026-01-12,105,Aging (3-6 months)
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,2024-11-17,526,Decaying (12+ months)
https://lumenflow.demo/post/product-telemetry-tutorial-1,2026-03-04,54,Recent (1-3 months)
https://lumenflow.demo/blog/product-telemetry-best-practices,2025-12-05,143,Aging (3-6 months)
https://lumenflow.demo/guide/product-telemetry-explained,2026-01-05,112,Aging (3-6 months)
https://lumenflow.demo/post/how-to-product-telemetry-4,2025-08-30,240,Stale (6-12 months)
https://lumenflow.demo/case-study/product-telemetry-umbrella,2026-03-10,48,Recent (1-3 months)
https://lumenflow.demo/post/product-telemetry-tutorial-6,2026-02-01,85,Recent (1-3 months)
https://lumenflow.demo/blog/product-telemetry-best-practices,2025-08-16,254,Stale (6-12 months)
https://lumenflow.demo/guide/product-telemetry-explained,2026-03-27,31,Fresh (< 1 month)
https://lumenflow.demo/post/user-behavior-tracking-tutorial-1,2026-01-11,106,Aging (3-6 months)
https://lumenflow.demo/blog/user-behavior-tracking-best-practices,2025-12-07,141,Aging (3-6 months)
https://lumenflow.demo/guide/user-behavior-tracking-explained,2026-03-04,54,Recent (1-3 months)
https://lumenflow.demo/post/how-to-user-behavior-tracking-4,2026-03-13,45,Recent (1-3 months)
https://lumenflow.demo/case-study/user-behavior-tracking-umbrella,2025-12-28,120,Aging (3-6 months)
https://lumenflow.demo/post/user-behavior-tracking-tutorial-6,2026-01-01,116,Aging (3-6 months)
https://lumenflow.demo/blog/user-behavior-tracking-best-practices,2025-09-09,230,Stale (6-12 months)
https://lumenflow.demo/guide/user-behavior-tracking-explained,2025-12-20,128,Aging (3-6 months)
https://lumenflow.demo/post/how-to-user-behavior-tracking-9,2026-03-25,33,Fresh (< 1 month)
https://lumenflow.demo/case-study/user-behavior-tracking-umbrella,2025-12-11,137,Aging (3-6 months)
https://lumenflow.demo/post/user-behavior-tracking-tutorial-11,2025-12-19,129,Aging (3-6 months)
https://lumenflow.demo/post/funnel-analysis-tutorial-1,2024-11-16,527,Decaying (12+ months)
https://lumenflow.demo/blog/funnel-analysis-best-practices,2025-12-20,128,Aging (3-6 months)
https://lumenflow.demo/guide/funnel-analysis-explained,2026-03-12,46,Recent (1-3 months)
https://lumenflow.demo/post/how-to-funnel-analysis-4,2026-03-09,49,Recent (1-3 months)
https://lumenflow.demo/case-study/funnel-analysis-umbrella,2026-01-30,87,Recent (1-3 months)
https://lumenflow.demo/post/funnel-analysis-tutorial-6,2025-12-06,142,Aging (3-6 months)
https://lumenflow.demo/blog/funnel-analysis-best-practices,2025-08-24,246,Stale (6-12 months)
https://lumenflow.demo/post/cohort-reporting-tutorial-1,2026-04-05,22,Fresh (< 1 month)
https://lumenflow.demo/blog/cohort-reporting-best-practices,2025-12-02,146,Aging (3-6 months)
https://lumenflow.demo/guide/cohort-reporting-explained,2026-03-15,43,Fresh (< 1 month)
https://lumenflow.demo/post/how-to-cohort-reporting-4,2025-11-29,149,Aging (3-6 months)
https://lumenflow.demo/case-study/cohort-reporting-umbrella,2026-01-01,116,Aging (3-6 months)
https://lumenflow.demo/post/cohort-reporting-tutorial-6,2025-09-10,229,Stale (6-12 months)
https://lumenflow.demo/post/retention-metrics-tutorial-1,2025-08-16,254,Stale (6-12 months)
https://lumenflow.demo/blog/retention-metrics-best-practices,2026-04-15,12,Fresh (< 1 month)
https://lumenflow.demo/guide/retention-metrics-explained,2026-04-15,12,Fresh (< 1 month)
https://lumenflow.demo/post/how-to-retention-metrics-4,2024-10-29,545,Decaying (12+ months)
https://lumenflow.demo/case-study/retention-metrics-umbrella,2024-10-17,557,Decaying (12+ months)
https://lumenflow.demo/post/retention-metrics-tutorial-6,2026-02-07,79,Recent (1-3 months)
https://lumenflow.demo/blog/retention-metrics-best-practices,2026-01-10,107,Aging (3-6 months)
https://lumenflow.demo/guide/retention-metrics-explained,2025-09-02,237,Stale (6-12 months)
https://lumenflow.demo/post/how-to-retention-metrics-9,2026-03-10,48,Recent (1-3 months)
https://lumenflow.demo/post/onboarding-optimization-tutorial-1,2024-10-28,546,Decaying (12+ months)
https://lumenflow.demo/blog/onboarding-optimization-best-practices,2026-02-18,68,Recent (1-3 months)
https://lumenflow.demo/guide/onboarding-optimization-explained,2025-12-18,130,Aging (3-6 months)
https://lumenflow.demo/post/how-to-onboarding-optimization-4,2025-08-21,249,Stale (6-12 months)
https://lumenflow.demo/case-study/onboarding-optimization-umbrella,2026-03-02,56,Recent (1-3 months)
https://lumenflow.demo/post/feature-adoption-tutorial-1,2025-12-12,136,Aging (3-6 months)
https://lumenflow.demo/blog/feature-adoption-best-practices,2026-02-08,78,Recent (1-3 months)
https://lumenflow.demo/guide/feature-adoption-explained,2026-03-08,50,Recent (1-3 months)
https://lumenflow.demo/post/how-to-feature-adoption-4,2025-09-09,230,Stale (6-12 months)
https://lumenflow.demo/case-study/feature-adoption-umbrella,2026-01-01,116,Aging (3-6 months)
https://lumenflow.demo/post/feature-adoption-tutorial-6,2025-12-23,125,Aging (3-6 months)
https://lumenflow.demo/blog/feature-adoption-best-practices,2026-04-07,20,Fresh (< 1 month)
https://lumenflow.demo/post/churn-prediction-tutorial-1,2025-08-26,244,Stale (6-12 months)
https://lumenflow.demo/blog/churn-prediction-best-practices,2025-11-28,150,Aging (3-6 months)
https://lumenflow.demo/guide/churn-prediction-explained,2025-11-29,149,Aging (3-6 months)
https://lumenflow.demo/post/how-to-churn-prediction-4,2025-12-15,133,Aging (3-6 months)
