cluster_id,cluster_name,keywords
0,Customer Analytics,"customer analytics, customer_analytics, analytics"
1,Event Tracking SDKs,"event tracking sdks, event_tracking_sdks, sdks"
2,Funnel Optimization,"funnel optimization, funnel_optimization, optimization"
3,Retention Modeling,"retention modeling, retention_modeling, modeling"
4,Onboarding Playbooks,"onboarding playbooks, onboarding_playbooks, playbooks"
5,Feature Flag Strategy,"feature flag strategy, feature_flag_strategy, strategy"
6,Experimentation Platform,"experimentation platform, experimentation_platform, platform"
7,Behavioral Segmentation,"behavioral segmentation, behavioral_segmentation, segmentation"
8,Mobile SDK Integration,"mobile sdk integration, mobile_sdk_integration, integration"
9,GDPR Compliance,"gdpr compliance, gdpr_compliance, compliance"
10,Reverse ETL,"reverse etl, reverse_etl, etl"
11,Marketing Attribution,"marketing attribution, marketing_attribution, attribution"
12,Cohort Analysis,"cohort analysis, cohort_analysis, analysis"
13,Customer Journey,"customer journey, customer_journey, journey"
14,Real-Time Dashboards,"real-time dashboards, real-time_dashboards, dashboards"
15,Self-Serve BI,"self-serve bi, self-serve_bi, bi"
16,Activation Tactics,"activation tactics, activation_tactics, tactics"
17,Churn Modeling,"churn modeling, churn_modeling, modeling"
18,Push Notification Best Practices,"push notification best practices, push_notification_best_practices, practices"
19,Email Lifecycle,"email lifecycle, email_lifecycle, lifecycle"
20,Heatmap Analytics,"heatmap analytics, heatmap_analytics, analytics"
21,Session Replay Tools,"session replay tools, session_replay_tools, tools"
22,Attribution Modeling,"attribution modeling, attribution_modeling, modeling"
23,Product Adoption,"product adoption, product_adoption, adoption"
24,Streaming Pipelines,"streaming pipelines, streaming_pipelines, pipelines"
