cluster_id,cluster_name,keywords
0,Customer Analytics Platform,"customer analytics, behavioral data, user insights, analytics platform, customer intelligence, data-driven decisions"
1,Product Telemetry,"product telemetry, event tracking, telemetry data, instrumentation, sdk integration, event schema"
2,User Behavior Tracking,"user behavior, behavior tracking, click tracking, user journey, behavior analytics, session tracking"
3,Funnel Analysis,"funnel analysis, conversion funnel, drop-off rates, funnel optimization, multi-step funnel, funnel visualization"
4,Cohort Reporting,"cohort analysis, cohort reporting, retention cohorts, cohort metrics, behavioral cohorts, time-based cohorts"
5,Retention Metrics,"retention metrics, user retention, customer retention, retention curves, dau mau ratio, repeat usage"
6,Onboarding Optimization,"onboarding flow, user onboarding, activation metrics, onboarding optimization, time to value, first session"
7,Feature Adoption,"feature adoption, feature usage, adoption rate, feature analytics, power users, sticky features"
8,Churn Prediction,"churn prediction, churn analysis, predictive churn, churn risk, retention modeling, customer health score"
9,A/B Testing Framework,"ab testing, experiment design, split testing, statistical significance, hypothesis testing, conversion experiments"
10,Event Schema Design,"event schema, event taxonomy, event naming, tracking plan, schema design, event properties"
11,Session Replay,"session replay, session recording, user session playback, screen recording, behavioral replay, ux debugging"
12,Privacy Compliance,"privacy compliance, gdpr analytics, ccpa, data anonymization, consent management, privacy by design"
13,Data Pipeline Architecture,"data pipeline, etl pipeline, real-time pipeline, data ingestion, streaming analytics, pipeline architecture"
14,Dashboard Building,"dashboard building, kpi dashboard, custom dashboards, data visualization, executive dashboards, dashboard design"
15,Self-Serve Analytics,"self-serve analytics, no-code analytics, self-service bi, ad-hoc analysis, citizen data analyst, democratize data"
16,Mobile App Analytics,"mobile analytics, app analytics, ios analytics, android tracking, mobile sdk, app engagement"
17,Web Analytics,"web analytics, website tracking, page analytics, traffic analytics, web events, browser events"
18,E-commerce Tracking,"ecommerce tracking, purchase events, cart analytics, checkout funnel, ecommerce metrics, transaction tracking"
19,Marketing Attribution,"marketing attribution, multi-touch attribution, attribution modeling, channel attribution, mta, attribution analytics"
20,Product-Led Growth,"product led growth, plg, plg metrics, product qualified leads, pql, free to paid conversion"
21,Customer Journey Mapping,"customer journey, journey mapping, journey analytics, lifecycle stages, customer touchpoints, journey orchestration"
22,Voice of Customer,"voice of customer, voc, customer feedback, in-app surveys, nps surveys, customer sentiment"
23,NPS Tracking,"nps tracking, net promoter score, nps surveys, promoter detractor, nps benchmarks, customer loyalty"
24,Heatmaps,"heatmaps, click heatmaps, scroll maps, attention maps, heatmap analytics, ui hotspots"
25,Personalization Engine,"personalization, dynamic content, behavioral personalization, recommendation engine, ai personalization, segmentation"
26,Push Notification Strategy,"push notifications, push strategy, mobile push, push automation, notification timing, push engagement"
27,Email Engagement,"email engagement, email analytics, open rates, click rates, lifecycle emails, behavioral email"
28,Conversion Optimization,"conversion rate optimization, cro, conversion analytics, landing page optimization, conversion testing, optimization framework"
29,SaaS Metrics,"saas metrics, mrr, arr, cac, ltv, expansion revenue, net revenue retention"
