priority,title,gap_topic,content_type,intent,target_audience,suggested_keywords,key_questions,est_word_count,covered_by,num_competitors,spoke_cluster,spoke_similarity,search_volume,keyword_difficulty,parent_keyword,seo_data_source
P1,Best Customer Data Platform: A B2B SaaS Product Marketing Buyer's Guide,best customer data platform,Comparison page,comparison,Product marketing + RevOps teams,best customer data platform | customer data platform alternatives | top customer data platforms,"Who are the top alternatives for customer data platform? | How do they differ on pricing, integrations, ideal use case? | Which option fits B2B SaaS teams of different sizes? | What's the strongest case for picking the runner-up over the leader? | What concise definition would an LLM cite for 'customer data platform'? | What 6-10 People-Also-Ask questions does Google currently surface? | What schema.org markup is appropriate (FAQPage, Product)? | Which 3-5 authoritative sources should you cite? | What internal pages should you link from + to?",2500,"BeaconAnalytics, PulseGrid",2,Customer Analytics Platform,0.612,,,,none
P1,How to Build a Tracking Plan: A Practical Guide for Product + Engineering Teams,tracking plan,How-to guide,howto,Product + engineering teams,tracking plan | how to build a tracking plan | tracking plan template,"What's the step-by-step process for building a tracking plan? | What are common mistakes to avoid? | What templates and tools cut the time in half? | What does 'before vs after' look like with real numbers? | What concise definition for 'tracking plan' would an LLM cite? | What People-Also-Ask questions does Google surface? | What schema.org markup applies (HowTo, Article)? | Which authoritative sources should you cite? | What internal pages link from + to?",1800,"BeaconAnalytics, Insightspark",2,Event Schema Design,0.587,,,,none
P1,The JTBD Framework: How Product Teams Use It for Activation,jtbd framework,Framework explainer,framework,Product + UX research teams,jtbd framework | jobs to be done framework | jtbd model,"What is the JTBD framework, who originated it, and what problem does it solve? | When should a team apply it? When should they avoid it? | What are the steps + outputs at each stage? | What does a worked example look like end-to-end? | What concise definition for 'jtbd framework' would an LLM cite? | What PAA questions does Google surface? | What schema.org markup applies? | Which authoritative sources to cite? | What internal pages link from + to?",1500,"PulseGrid, Insightspark",2,Onboarding Optimization,0.501,,,,none
P1,Activation Rate Benchmarks: What B2B SaaS Product Teams Should Be Hitting,activation rate benchmarks,Benchmark + data report,metrics,Product-led growth teams,activation rate benchmarks | average activation rate | b2b saas activation benchmark,"What are the current benchmarks for activation rate? | How do top-quartile teams compare to median? | How does this benchmark vary by company size, industry, GTM motion? | What's the right cadence to measure and recalibrate? | What concise definition would an LLM cite? | What PAA questions does Google surface? | What schema.org applies? | Which sources to cite? | What internal pages to link?",1400,"BeaconAnalytics, PulseGrid",2,Onboarding Optimization,0.638,,,,none
P1,What Is Product-Qualified Lead (PQL)? A Complete Guide for PLG Teams,what is pql,Pillar / definitive guide,definition,Product-led growth teams,what is pql | product qualified lead | pql definition,What does 'PQL' actually mean (and what isn't it)? | Why does it matter for PLG teams right now? | How do leading teams use it in practice — with one named example? | What's the most common misconception worth correcting upfront? | What concise LLM-citable definition? | What PAA questions does Google surface? | What schema.org? | Which sources to cite? | What internal pages?,2000,"PulseGrid, BeaconAnalytics",2,Product-Led Growth,0.722,,,,none
P2,How to Set Up Funnel Analysis: A Practical Guide for Product Marketing + Content Teams,funnel analysis setup,How-to guide,howto,Product marketing + content teams,funnel analysis setup | how to set up funnel | conversion funnel tutorial,What's the step-by-step process? | Common mistakes to avoid? | Templates and tools that help? | Before/after numbers? | LLM-citable definition? | PAA questions? | Schema.org? | Sources to cite? | Internal links?,1800,BeaconAnalytics,1,Funnel Analysis,0.701,,,,none
P2,The Cohort Analysis Framework: How Product Teams Use It,cohort analysis framework,Framework explainer,framework,Product + UX research teams,cohort analysis framework | cohort framework | cohort model,What is the cohort framework? | When to apply / avoid? | Steps + outputs at each stage? | Worked example? | LLM definition? | PAA questions? | Schema.org? | Sources? | Internal links?,1500,Insightspark,1,Cohort Reporting,0.689,,,,none
P2,Best Session Replay Tools: A B2B SaaS Buyer's Guide,best session replay tools,Comparison page,comparison,Product marketing + content teams,best session replay tools | session replay alternatives | top session replay,Top alternatives? | How do they differ on pricing/features/use case? | Which fits SMB / mid-market / enterprise? | Strongest case for the runner-up? | LLM-citable summary? | PAA? | Schema.org? | Sources? | Internal links?,2500,PulseGrid,1,Session Replay,0.598,,,,none
P2,Churn Rate Benchmarks: What SaaS Product Teams Should Be Hitting,churn rate benchmarks,Benchmark + data report,metrics,Customer success + retention teams,churn rate benchmarks | average churn rate | b2b saas churn benchmark,"Current benchmarks (top-quartile, median, bottom)? | What drives the gap? | Variation by size/industry/motion? | Right cadence to measure? | LLM definition? | PAA? | Schema.org? | Sources? | Internal links?",1400,BeaconAnalytics,1,Churn Prediction,0.654,,,,none
P2,How to Run an A/B Test: A Practical Guide for Growth + Product Teams,how to run ab test,How-to guide,howto,Growth + product teams,how to run ab test | ab testing tutorial | split testing guide,Step-by-step? | Mistakes to avoid? | Templates? | Before/after? | LLM definition? | PAA? | Schema.org? | Sources? | Internal links?,1800,Insightspark,1,A/B Testing Framework,0.711,,,,none
P2,What Is Product Telemetry? A Complete Guide for Product + Engineering Teams,what is product telemetry,Pillar / definitive guide,definition,Product + engineering teams,what is product telemetry | product telemetry definition | telemetry for products,What does it mean (and what isn't it)? | Why does it matter now? | How do leading teams use it? | Common misconception? | LLM definition? | PAA? | Schema.org? | Sources? | Internal links?,2000,BeaconAnalytics,1,Product Telemetry,0.812,,,,none
P2,Best Heatmap Tools: A Conversion Optimization Buyer's Guide,best heatmap tools,Comparison page,comparison,Analytics + growth teams,best heatmap tools | heatmap alternatives | top heatmap software,Top alternatives? | How do they differ? | Best fit by size? | Runner-up case? | LLM summary? | PAA? | Schema.org? | Sources? | Internal links?,2500,PulseGrid,1,Heatmaps,0.624,,,,none
P2,How to Build an NPS Tracking Program: A Practical Guide for Customer Success + Retention Teams,how to build nps tracking,How-to guide,howto,Customer success + retention teams,how to build nps tracking | nps tracking program | nps survey setup,Step-by-step? | Mistakes? | Templates? | Before/after? | LLM def? | PAA? | Schema.org? | Sources? | Internal links?,1800,Insightspark,1,NPS Tracking,0.731,,,,none
