url,brand_score,tone_alignment,tone_matches,style_match,avg_sentence_length,violations,rating
https://lumenflow.demo/guide/product-telemetry-explained,25,25%,concise,No,15.4,jargon detected,Off-brand
https://lumenflow.demo/post/how-to-a-b-testing-framework-4,25,25%,"pragmatic, authoritative",Yes,13.4,fluff words detected,Off-brand
https://lumenflow.demo/blog/retention-metrics-best-practices,28,28%,"authoritative, concise",No,12.5,passive voice,Off-brand
https://lumenflow.demo/guide/cohort-reporting-explained,32,32%,"authoritative, data-driven",No,13.8,jargon detected,Off-brand
https://lumenflow.demo/case-study/product-telemetry-umbrella,34,34%,"pragmatic, concise",Yes,16.8,passive voice,Off-brand
https://lumenflow.demo/post/how-to-customer-analytics-platform-4,35,35%,pragmatic,Yes,17.1,passive voice,Needs work
https://lumenflow.demo/post/marketing-attribution-tutorial-1,35,35%,authoritative,Yes,17.6,jargon detected,Needs work
https://lumenflow.demo/case-study/user-behavior-tracking-umbrella,37,37%,"data-driven, concise, pragmatic",No,13.6,fluff words detected,Needs work
https://lumenflow.demo/post/feature-adoption-tutorial-1,37,37%,"concise, pragmatic",Yes,18.9,fluff words detected,Needs work
https://lumenflow.demo/case-study/data-pipeline-architecture-umbrella,37,37%,"authoritative, concise",Yes,15.0,jargon detected,Needs work
https://lumenflow.demo/post/web-analytics-tutorial-1,37,37%,"data-driven, authoritative",Yes,13.3,jargon detected,Needs work
https://lumenflow.demo/post/product-telemetry-tutorial-1,38,38%,concise,No,17.4,jargon detected,Needs work
https://lumenflow.demo/post/how-to-user-behavior-tracking-4,38,38%,"authoritative, data-driven, pragmatic",Yes,16.1,,Needs work
https://lumenflow.demo/case-study/onboarding-optimization-umbrella,38,38%,authoritative,Yes,16.0,jargon detected,Needs work
https://lumenflow.demo/guide/marketing-attribution-explained,38,38%,"data-driven, concise",No,17.6,passive voice,Needs work
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,39,39%,"data-driven, authoritative, concise",No,12.0,passive voice,Needs work
https://lumenflow.demo/guide/product-telemetry-explained,39,39%,"authoritative, concise, pragmatic",Yes,14.1,jargon detected,Needs work
https://lumenflow.demo/blog/dashboard-building-best-practices,41,41%,authoritative,Yes,15.7,passive voice,Needs work
https://lumenflow.demo/guide/e-commerce-tracking-explained,41,41%,data-driven,Yes,18.7,passive voice,Needs work
https://lumenflow.demo/case-study/feature-adoption-umbrella,44,44%,"authoritative, pragmatic, concise",No,14.1,fluff words detected,Needs work
https://lumenflow.demo/post/cohort-reporting-tutorial-1,46,46%,"concise, authoritative",Yes,16.5,fluff words detected,Needs work
https://lumenflow.demo/guide/retention-metrics-explained,46,46%,"data-driven, pragmatic",Yes,16.9,,Needs work
https://lumenflow.demo/post/feature-adoption-tutorial-6,46,46%,concise,Yes,17.7,jargon detected,Needs work
https://lumenflow.demo/blog/web-analytics-best-practices,46,46%,"authoritative, pragmatic",Yes,12.2,passive voice,Needs work
