url,primary_intent,secondary_intent,confidence,transactional_signals,commercial_signals,informational_signals,navigational_signals
https://lumenflow.demo/post/customer-analytics-platform-tutorial-1,informational,transactional,0.88,3,5,11,1
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,informational,navigational,0.81,8,0,11,0
https://lumenflow.demo/guide/customer-analytics-platform-explained,transactional,informational,0.65,1,11,6,2
https://lumenflow.demo/post/how-to-customer-analytics-platform-4,informational,commercial,0.82,3,10,10,4
https://lumenflow.demo/case-study/customer-analytics-platform-umbrella,informational,commercial,0.58,6,4,3,0
https://lumenflow.demo/post/customer-analytics-platform-tutorial-6,informational,commercial,0.79,4,2,16,4
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,commercial,navigational,0.55,1,11,6,4
https://lumenflow.demo/guide/customer-analytics-platform-explained,informational,transactional,0.77,2,6,6,0
https://lumenflow.demo/post/how-to-customer-analytics-platform-9,informational,commercial,0.88,3,10,9,0
https://lumenflow.demo/case-study/customer-analytics-platform-umbrella,informational,navigational,0.88,6,9,6,1
https://lumenflow.demo/post/customer-analytics-platform-tutorial-11,transactional,informational,0.88,0,2,12,3
https://lumenflow.demo/blog/customer-analytics-platform-best-practices,transactional,navigational,0.85,4,2,5,3
https://lumenflow.demo/post/product-telemetry-tutorial-1,transactional,commercial,0.63,7,5,11,1
https://lumenflow.demo/blog/product-telemetry-best-practices,informational,navigational,0.62,5,4,4,2
https://lumenflow.demo/guide/product-telemetry-explained,informational,navigational,0.7,8,5,2,0
https://lumenflow.demo/post/how-to-product-telemetry-4,transactional,commercial,0.62,4,0,5,4
https://lumenflow.demo/case-study/product-telemetry-umbrella,informational,navigational,0.84,6,9,18,0
https://lumenflow.demo/post/product-telemetry-tutorial-6,informational,navigational,0.62,0,11,15,0
https://lumenflow.demo/blog/product-telemetry-best-practices,informational,navigational,0.8,3,5,15,0
https://lumenflow.demo/guide/product-telemetry-explained,transactional,commercial,0.78,1,11,11,4
https://lumenflow.demo/post/user-behavior-tracking-tutorial-1,informational,transactional,0.67,4,8,6,1
https://lumenflow.demo/blog/user-behavior-tracking-best-practices,informational,transactional,0.8,2,9,11,3
https://lumenflow.demo/guide/user-behavior-tracking-explained,informational,commercial,0.66,3,6,12,3
https://lumenflow.demo/post/how-to-user-behavior-tracking-4,informational,navigational,0.63,7,12,7,0
https://lumenflow.demo/case-study/user-behavior-tracking-umbrella,informational,navigational,0.78,5,1,9,2
https://lumenflow.demo/post/user-behavior-tracking-tutorial-6,informational,commercial,0.6,0,3,17,4
https://lumenflow.demo/blog/user-behavior-tracking-best-practices,transactional,informational,0.72,3,11,14,3
https://lumenflow.demo/guide/user-behavior-tracking-explained,informational,commercial,0.79,0,12,5,3
https://lumenflow.demo/post/how-to-user-behavior-tracking-9,informational,navigational,0.74,0,8,9,0
https://lumenflow.demo/case-study/user-behavior-tracking-umbrella,informational,transactional,0.8,8,9,12,3
https://lumenflow.demo/post/user-behavior-tracking-tutorial-11,commercial,navigational,0.88,6,8,16,1
https://lumenflow.demo/post/funnel-analysis-tutorial-1,commercial,transactional,0.72,3,10,10,4
https://lumenflow.demo/blog/funnel-analysis-best-practices,informational,commercial,0.65,1,11,11,1
